Year,Economic activity,Gender,Economically active population,Monthly average wage,Paid employment workers,Sector GDP,Bachelors,Diploma,Master,Doctorate,Pre-University Diploma
2011,"Agriculture, forestry and fishing",F,46,2765,46,590.0,0.0,0.0,0.0,0.0,0.0
2011,Mining and quarrying,F,2487,18237,2441,359227.0,0.0,0.0,0.0,0.0,0.0
2011,Manufacturing,F,600,10217,600,57789.0,0.0,0.0,0.0,0.0,0.0
2011,"Electricity, gas, steam and air conditioning supply",F,390,13807,390,795.0,0.0,0.0,0.0,0.0,0.0
2011,"Water supply; sewerage, waste management and remediation activities",F,0,0,0,795.0,0.0,0.0,0.0,0.0,0.0
2011,Construction,F,2851,10745,2836,28515.0,0.0,0.0,0.0,0.0,0.0
2011,Wholesale and retail trade; repair of motor vehicles and motorcycles,F,5407,7738,5121,32184.0,0.0,0.0,0.0,0.0,0.0
2011,Transportation and storage,F,3956,8716,3910,14043.0,0.0,0.0,0.0,0.0,0.0
2011,Accommodation and food service activities,F,2564,6602,2548,3926.0,0.0,0.0,0.0,0.0,0.0
2011,Information and communication,F,1873,13540,1873,7370.0,0.0,0.0,0.0,0.0,0.0
2011,Financial and insurance activities,F,2754,13516,2689,33993.0,0.0,0.0,0.0,0.0,0.0
2011,Real estate activities,F,432,12208,416,23564.0,0.0,0.0,0.0,0.0,0.0
2011,"Professional, scientific and technical activities",F,1367,10562,1284,6404.0,78.0,0.0,0.0,0.0,0.0
2011,Administrative and support service activities,F,2540,7798,2444,6404.0,166.0,0.0,20.0,0.0,0.0
2011,Public administration and defence; compulsory social security,F,13745,14417,13648,26580.0,113.0,0.0,0.0,0.0,0.0
2011,Education,F,16607,12958,16338,6791.0,42.0,17.0,6.0,0.0,0.0
2011,Human health and social work activities,F,10562,13176,10530,6209.0,18.0,0.0,0.0,0.0,0.0
2011,"Arts, entertainment and recreation",F,758,13657,742,2459.5,392.0,0.0,0.0,0.0,0.0
2011,Other service activities,F,316,10745,316,2459.5,0.0,0.0,0.0,0.0,0.0
2011,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,F,83792,2409,83792,2012.0,0.0,0.0,0.0,0.0,0.0
2011,"Agriculture, forestry and fishing",M,17241,3153,17047,590.0,0.0,0.0,0.0,0.0,0.0
2011,Mining and quarrying,M,79422,15110,79367,359227.0,0.0,0.0,0.0,0.0,0.0
2011,Manufacturing,M,100404,6537,99841,57789.0,0.0,0.0,0.0,0.0,0.0
2011,"Electricity, gas, steam and air conditioning supply",M,5041,18975,5026,795.0,0.0,0.0,0.0,0.0,0.0
2011,"Water supply; sewerage, waste management and remediation activities",M,1184,11529,1138,795.0,0.0,0.0,0.0,0.0,0.0
2011,Construction,M,494780,4659,492783,28515.0,0.0,0.0,0.0,0.0,0.0
2011,Wholesale and retail trade; repair of motor vehicles and motorcycles,M,136581,5329,134581,32184.0,0.0,0.0,0.0,0.0,0.0
2011,Transportation and storage,M,29003,7389,28509,14043.0,0.0,0.0,0.0,0.0,0.0
2011,Accommodation and food service activities,M,27805,4669,27788,3926.0,0.0,0.0,0.0,0.0,0.0
2011,Information and communication,M,8051,16648,8051,7370.0,0.0,0.0,0.0,0.0,0.0
2011,Financial and insurance activities,M,7893,17882,7845,33993.0,0.0,0.0,0.0,0.0,0.0
2011,Real estate activities,M,8656,10682,8562,23564.0,0.0,0.0,0.0,0.0,0.0
2011,"Professional, scientific and technical activities",M,22754,7928,22447,6404.0,66.0,0.0,0.0,0.0,0.0
2011,Administrative and support service activities,M,37878,6640,37629,6404.0,65.0,0.0,16.0,0.0,0.0
2011,Public administration and defence; compulsory social security,M,62763,16386,62606,26580.0,39.0,0.0,0.0,0.0,0.0
2011,Education,M,10640,15539,10594,6791.0,13.0,11.0,1.0,0.0,0.0
2011,Human health and social work activities,M,10625,16536,10547,6209.0,0.0,0.0,0.0,0.0,0.0
2011,"Arts, entertainment and recreation",M,3899,14089,3883,2459.5,38.0,0.0,0.0,0.0,0.0
2011,Other service activities,M,4018,6129,4003,2459.5,0.0,0.0,0.0,0.0,0.0
2011,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,M,47815,2403,47815,2012.0,0.0,0.0,0.0,0.0,0.0
2012,"Agriculture, forestry and fishing",F,55,2955,55,641.0,0.0,0.0,0.0,0.0,0.0
2012,Mining and quarrying,F,3102,23838,3102,394697.0,0.0,0.0,0.0,0.0,0.0
2012,Manufacturing,F,691,12585,659,71571.0,0.0,0.0,0.0,0.0,0.0
2012,"Electricity, gas, steam and air conditioning supply",F,479,14824,479,1215.0,0.0,0.0,0.0,0.0,0.0
2012,"Water supply; sewerage, waste management and remediation activities",F,38,16278,38,1215.0,0.0,0.0,0.0,0.0,0.0
2012,Construction,F,2930,11990,2911,30947.0,0.0,0.0,0.0,0.0,0.0
2012,Wholesale and retail trade; repair of motor vehicles and motorcycles,F,5523,7752,5239,35757.0,0.0,0.0,0.0,0.0,0.0
2012,Transportation and storage,F,5338,14968,5338,14365.0,0.0,0.0,0.0,0.0,0.0
2012,Accommodation and food service activities,F,2990,8597,2990,4571.0,0.0,0.0,0.0,0.0,0.0
2012,Information and communication,F,2783,17638,2783,7637.0,0.0,0.0,4.0,0.0,0.0
2012,Financial and insurance activities,F,3209,18049,3178,36615.0,185.0,0.0,8.0,0.0,0.0
2012,Real estate activities,F,369,16904,350,24535.0,0.0,0.0,0.0,0.0,0.0
2012,"Professional, scientific and technical activities",F,1583,11752,1501,7153.0,101.0,0.0,0.0,0.0,0.0
2012,Administrative and support service activities,F,2390,11556,2298,7153.0,0.0,0.0,0.0,0.0,0.0
2012,Public administration and defence; compulsory social security,F,13805,19864,13785,32152.0,15.0,0.0,0.0,0.0,0.0
2012,Education,F,18515,17268,18193,7988.0,132.0,14.0,12.0,0.0,0.0
2012,Human health and social work activities,F,11796,17131,11649,7531.0,14.0,0.0,0.0,9.0,0.0
2012,"Arts, entertainment and recreation",F,752,19364,752,2963.5,338.0,0.0,0.0,0.0,0.0
2012,Other service activities,F,680,8793,680,2963.5,0.0,0.0,0.0,0.0,0.0
2012,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,F,90361,2425,90361,2321.0,0.0,0.0,0.0,0.0,0.0
2012,"Agriculture, forestry and fishing",M,18107,4411,17959,641.0,0.0,0.0,0.0,0.0,0.0
2012,Mining and quarrying,M,80009,18431,79963,394697.0,0.0,0.0,0.0,0.0,0.0
2012,Manufacturing,M,102115,6536,101852,71571.0,0.0,0.0,0.0,0.0,0.0
2012,"Electricity, gas, steam and air conditioning supply",M,7186,18666,7186,1215.0,0.0,0.0,0.0,0.0,0.0
2012,"Water supply; sewerage, waste management and remediation activities",M,1258,13194,1233,1215.0,0.0,0.0,0.0,0.0,0.0
2012,Construction,M,496334,3879,494056,30947.0,0.0,0.0,0.0,0.0,0.0
2012,Wholesale and retail trade; repair of motor vehicles and motorcycles,M,163836,6451,161783,35757.0,0.0,0.0,0.0,0.0,0.0
2012,Transportation and storage,M,32937,11412,32394,14365.0,0.0,0.0,0.0,0.0,0.0
2012,Accommodation and food service activities,M,29215,6025,29094,4571.0,0.0,0.0,0.0,0.0,0.0
2012,Information and communication,M,8675,18749,8634,7637.0,0.0,0.0,1.0,0.0,0.0
2012,Financial and insurance activities,M,8249,20239,8099,36615.0,64.0,0.0,8.0,0.0,0.0
2012,Real estate activities,M,8965,13675,8743,24535.0,0.0,0.0,0.0,0.0,0.0
2012,"Professional, scientific and technical activities",M,23950,7477,23469,7153.0,89.0,0.0,1.0,0.0,0.0
2012,Administrative and support service activities,M,39057,5367,38936,7153.0,0.0,0.0,0.0,0.0,0.0
2012,Public administration and defence; compulsory social security,M,67735,23597,67634,32152.0,14.0,0.0,0.0,0.0,0.0
2012,Education,M,11894,17438,11894,7988.0,24.0,5.0,2.0,0.0,0.0
2012,Human health and social work activities,M,11714,16978,11644,7531.0,0.0,0.0,0.0,0.0,0.0
2012,"Arts, entertainment and recreation",M,7012,12131,6994,2963.5,41.0,0.0,0.0,0.0,0.0
2012,Other service activities,M,4333,5934,4295,2963.5,0.0,0.0,0.0,0.0,0.0
2012,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,M,49543,2233,49543,2321.0,0.0,0.0,0.0,0.0,0.0
