Year,Economic Sector,Degree Type,Academic Degree,Male,Female
2011,Education  ,Bachelors  , B.A In Education,13,42
2011,"Arts, entertainment and recreation  ",Bachelors  ,B.A In Art & science,38,392
2011,Public administration and defence; compulsory social security  ,Bachelors  ,B.A In Sharia & Islamic Studies,25,89
2011,"Professional, scientific and technical activities  ",Bachelors  ,B.Sc. In Engineering,66,78
2011,Administrative and support service activities  ,Bachelors  ,"B.Sc. In Admin, & Economics",65,166
2011,Public administration and defence; compulsory social security  ,Bachelors  ,B.Sc. In Law,14,24
2011,Human health and social work activities  ,Bachelors  ,Pharmacy,0,18
2011,Education  ,Diploma  ,Diploma in Primary Education,0,12
2011,Education  ,Diploma  ,Diploma in Secondary Education,6,1
2011,Education  ,Diploma  ,Special Education Diploma,5,4
2011,Education  ,Master  ,Special Education Masters,1,6
2011,Administrative and support service activities,Master,Master in Buisness Mangement,16,20
2012,Education,Bachelors, B.A In Education,9,72
2012,"Arts, entertainment and recreation",Bachelors,B.A In Art & science,41,338
2012,Education,Bachelors,B.A In Sharia & Islamic Studies,15,60
2012,"Professional, scientific and technical activities",Bachelors,B.Sc. In Engineering,89,101
2012,Financial and insurance activities,Bachelors,"B.Sc. In Admin, & Economics",64,185
2012,Public administration and defence; compulsory social security,Bachelors,B.Sc. In Law,14,15
2012,Human health and social work activities,Bachelors,Pharmacy,0,14
2012,Education,Diploma,Community College Diploma*,5,6
2012,Education,Diploma,Diploma in Primary Education,0,7
2012,Education,Diploma,Diploma in Secondary Education,0,1
2012,Education,Master,Special Education Diploma,0,2
2012,Education,Master,Special Education Masters,0,3
2012,Education,Master,Education Leadership Masters,2,7
2012,Financial and insurance activities,Master,Master in Business Mangement,8,8
2012,Information and communication,Master,Computing Masters,1,4
2012,"Professional, scientific and technical activities",Master,Engineering Management Masters,1,0
2012,Human health and social work activities,Doctorate,Doctor of Pharmacy,0,9
2013,Education,Bachelors,B.A In Education,0,20
2013,Education,Bachelors,B.A In Art & science,11,223
2013,Education,Bachelors,B.A In Sharia & Islamic Studies,5,28
2013,"Professional, scientific and technical activities",Bachelors,B.Sc. In Engineering,16,51
2013,Financial and insurance activities,Bachelors,"B.Sc. In Admin, & Economics",27,125
2013,"Professional, scientific and technical activities",Bachelors,B.Sc. In Law,5,42
2013,Human health and social work activities,Bachelors,Pharmacy,0,0
2013,Education,Diploma,"Community College Diplom  (1)
a",35,98
2013,Education,Diploma,Diploma in Primary Education,0,2
2013,Education,Diploma,Diploma in Secondary Education,0,2
2013,Education,Diploma,Special Education Diploma,0,0
2013,Education,Master,Special Education Masters,0,0
2013,Education,Master,Education Leadership Masters,0,3
2013,"Professional, scientific and technical activities",Master,Environmental Sciences Masters,0,3
2013,Financial and insurance activities,Master,Master in Buissness Mangement,0,7
2013,Information and communication,Master,Accounting Masters,0,2
2013,"Professional, scientific and technical activities",Master,Computing Masters,0,0
2013,Construction,Master,Engineering Management Masters,1,0
2013,Construction,Master,Urban Planning and Design Masters,0,0
2013,Human health and social work activities,Doctorate,Doctor of Pharmacy,0,1
2014,Education,Bachelors, B.A In Education,0,13
2014,"Arts, entertainment and recreation",Bachelors,B.A In Art & science,19,347
2014,Education,Bachelors,B.A In Sharia & Islamic Studies,18,81
2014,"Professional, scientific and technical activities",Bachelors,B.Sc. In Engineering,76,116
2014,Financial and insurance activities,Bachelors,"B.Sc. In Admin, & Economics",65,210
2014,Public administration and defence; compulsory social security,Bachelors,B.Sc. In Law,26,64
2014,Human health and social work activities,Bachelors,Pharmacy,0,23
2014,Education,Diploma,Community College Diploma(1),32,83
2014,Education,Diploma,Diploma in Primary Education,0,9
2014,Education,Diploma,Diploma in Secondary Education,2,0
2014,Education,Master,Special Education Diploma,2,2
2014,Education,Master,Special Education Masters,2,7
2014,Natural sciences,Master,Education Leadership Masters,5,13
2014,Human health and social work activities,Master,Environmental Sciences Masters,0,5
2014,Public administration and defence; compulsory social security,Master,Biomedical Laboratory Sciences Master,0,4
2014,Financial and insurance activities,Master,Gulf Studies Master,0,1
2014,Financial and insurance activities,Master,Master in Buissness Mangement,7,12
2014,Information and communication,Master,Accounting Masters,4,0
2014,Engineering,Master,Computing Master,5,9
2014,Engineering,Master,Electrical Engineering Master,1,0
2014,Engineering,Master,Engineering Management Master,3,2
2014,Engineering,Master,Environmental Engineering Master,3,2
2014,Architecture and urban planning,Master,Urban Planning and Design Master,0,2
2014,Human health and social work activities,Doctorate,Doctor of Pharmacy,0,7
2014,Human health and social work activities,Master,Pharmacy Master,0,1
2015,Education,Bachelors, B.A In Education,1,9
2015,"Arts, entertainment and recreation",Bachelors,B.A In Art & science,38,342
2015,Education,Bachelors,B.A In Sharia & Islamic Studies,24,105
2015,"Professional, scientific and technical activities",Bachelors,B.Sc. In Engineering,117,129
2015,Financial and insurance activities,Bachelors,"B.Sc. In Admin, & Economics",82,187
2015,Public administration and defence; compulsory social security,Bachelors,B.Sc. In Law,22,84
2015,Human health and social work activities,Bachelors,Pharmacy,0,21
2015,Education,Diploma,Community College Diploma(1),47,74
2015,Education,Diploma,Diploma in Primary Education,0,0
2015,Education,Diploma,Diploma in Secondary Education,0,1
2015,Education,Master,Special Education Diploma,0,0
2015,Education,Master,Special Education Masters,2,4
2015,Natural sciences,Master,Education Leadership Masters,2,8
2015,Human health and social work activities,Master,Environmental Sciences Masters,2,5
2015,Public administration and defence; compulsory social security,Master,Biomedical Laboratory Sciences Master,0,7
2015,Education,Master,Gulf Studies Master,4,8
2015,Natural sciences,Master,Arabic Language & Literature(Masters),0,11
2015,"Professional, scientific and technical activities",Master,Material Sci and Technology (Masters ),4,0
2015,Financial and insurance activities,Master,Master in Buissness Mangement,12,11
2015,Financial and insurance activities,Master,Accounting Masters,2,11
2015,Engineering,Master,Civil Engineering (Masters ),1,0
2015,Information and communication,Master,Computing (Masters ),3,8
2015,Engineering,Master,Electrical Engineering (Masters ),2,0
2015,Engineering,Master,Engineering Management (Masters ),12,8
2015,Engineering,Master,Environmental Engineering (Masters ),2,5
2015,Engineering,Master,Mechanical Engineering (Masters ),3,0
2015,Architecture and urban planning,Master,Urban Planning and Design (Masters ),0,2
2015,Human health and social work activities,Doctorate,Doctor of Pharmacy,2,10
2015,Human health and social work activities,Master,Pharmacy Master,0,1
2015,Education,Master,Fiqh and Usul Al Fiqh (Masters),4,1
2015,Information and communication,Doctorate,Computer Science ( Doctorate ),1,0
2016,Education,Bachelors, B.A In Education,1,102
2016,"Arts, entertainment and recreation",Bachelors,B.A In Art & science,91,679
2016,Education,Bachelors,B.A In Sharia & Islamic Studies,30,103
2016,Engineering,Bachelors,B.Sc. In Engineering,115,120
2016,Financial and insurance activities,Bachelors,"B.Sc. In Admin, & Economics",117,354
2016,Public administration and defence; compulsory social security,Bachelors,B.Sc. In Law,46,109
2016,Human health and social work activities,Bachelors,B.Sc. Pharmacy,0,25
2016,Education,Diploma,Community College Diploma(1),92,104
2016,Education,Diploma,Diploma in Primary Education,0,8
2016,Education,Diploma,Diploma in Secondary Education,7,3
2016,Education,Diploma,Special Education Diploma,3,9
2016,Education,Diploma,Diploma in Early Childhood,0,3
2016,Education,Master,Master of Special Education ,3,9
2016,Education,Master,Master of Education Leadership ,2,12
2016,Education,Master,Master of Arabic Language & Literature,0,4
2016,Human health and social work activities,Master,Master of Biomedical Laboratory Sciences,0,2
2016,Human health and social work activities,Master,Master of Biomedical Sciences,0,6
2016,Natural sciences,Master,Master of Environmental Science,1,4
2016,Public administration and defence; compulsory social security,Master,Master of Arab Gulf Studies,3,8
2016,Natural sciences,Master,Master of Materials Science and Technology,2,7
2016,Financial and insurance activities,Master,Master of Accounting,6,5
2016,Financial and insurance activities,Master,Master of Business Administration,7,7
2016,Engineering,Master,Master of Civil Engineering,5,0
2016,Information and communication,Master,Master of Computing,3,7
2016,Engineering,Master,Master of Electrical Engineering,6,0
2016,Engineering,Master,Master of Engineering Management,12,11
2016,Engineering,Master,Master of Environmental Engineering,2,2
2016,Engineering,Master,Master of Mechanical Engineering,2,0
2016,Architecture and urban planning,Master,Master of Planning and Urban Design,0,5
2016,Human health and social work activities,Doctorate,Doctor Pharmacy,1,6
2016,Human health and social work activities,Master,Master  of Pharmacy,2,4
2016,Education,Master, Master of Fiqh and Usul Al Fiqh,2,0
2016,Education,Master,Master of Quranic Sciences and Exegesis,1,1
2016,Engineering,Doctorate,PhD in Civil Engineering,0,1
2017,Education,Bachelors, B.A In Education,18,255
2017,"Arts, entertainment and recreation",Bachelors,B.A In Art & science,161,794
2017,Education,Bachelors,B.A In Sharia & Islamic Studies,36,146
2017,Engineering,Bachelors,B.Sc. In Engineering,185,216
2017,Financial and insurance activities,Bachelors,"B.Sc. In Admin, & Economics",216,597
2017,Public administration and defence; compulsory social security,Bachelors,B.Sc. In Law,48,108
2017,Human health and social work activities,Bachelors,B.Sc Health Sciences,0,72
